name,rating
Ashley Simone,1.2
Telesphory Machibya,2.0
Albert Smit,2.0
Benjamin Lawrance,2.2
Kevin Gosner,2.3
Daisy Vargas,2.3
Daniel Asia,2.4
Tristan Mcknight,2.6
Amy Fatzinger,2.8
Steven Conway,2.9
Wendy Lotze,3.0
Johnny Bowens,3.3
Nicholas Ferdinandt,3.3
Margaret Camp,3.4
Richard Eaton,3.4
Horst Steklis,3.5
Matthew Rowe,3.5
Matthew Abraham,3.5
Steven Kuhn,3.6
Dennis Wise,3.6
Leila Hudson,3.7
Scott Lucas,3.9
Albert Welter,4.0
Catherine Vercruysse,4.0
Fabio Lanza,4.0
Joela Jacobs,4.1
Grant Adamson,4.1
Kathryn Alexander,4.4
Chieko Nakano,4.5
Melani Martinez,4.5
Tom Do,4.6
Abigail Martinez Sotelo,4.8
Edgard Oregiron,4.8
Sandra Barr,4.9
Jonathan Crisman,5.0
Roweena Mackay,5.0
Nathaniel Katz,Unknown
Eva Carrara,Unknown
Robert McMicken,Unknown
Harris Kornstein,Unknown
Robert Wardy,Unknown
Lansana Keita,Unknown
