name,rating
Giuseppe Cavatorta,0
Albert Smit,2
Ryan Jones,2
Benjamin Lawrance,2.2
Telesphory Machibya,2.3
Kevin Gosner,2.4
Daniel Asia,2.4
Tristan Mcknight,2.7
Wendy Lotze,3
David Yarnelle,3
Johnny Bowens,3.3
Ruth Oropeza,3.3
Richard Eaton,3.4
Matthew Rowe,3.5
Matthew Abraham,3.5
Steven Kuhn,3.6
Margaret Camp,3.7
Leila Hudson,3.7
Benedict Colombi,3.8
Catherine Vercruysse,3.8
Scott Lucas,3.9
Albert Welter,4
Horst Steklis,4.1
Joela Jacobs,4.1
Fabio Lanza,4.1
Kathryn Alexander,4.4
Chieko Nakano,4.5
Edgard Oregiron,4.8
Sandra Barr,4.9
Grant Adamson,5
Nathaniel Katz,Unknown
Eva Carrara,Unknown
Robert McMicken,Unknown
Robert Wardy,Unknown
Lansana Keita,Unknown
