name,rating
Narayanan Rengaswamy,0.0
Ming Li,1.0
Michael Marefat,1.5
Hao Xin,2.0
Soheil Salehi,2.0
Kathleen Melde,2.2
Bane Vasic,2.6
Jeffrey Rodriguez,3.4
Kelly Potter,3.5
Wolfgang Fink,3.7
Robert Mcbride,3.9
Jerzy Rozenblit,4.0
Siyang Cao,4.3
Ratchaneekorn Thamvichai,4.4
Hal Tharp,4.6
Masud Mansuripur,4.7
Dale Hetherington,5.0
Travis Sawyer,Unknown
Rich Scholes,Unknown
Michael Bullock,Unknown
Rudolf Binder,Unknown
